timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1692879666.1639647,2.8743958168514494e-12,8.098924308974631e-10,0.0,0.0,0.0,0.00023901741951704025,1.0,0.0,0.0,0.0,0.0,0.0,0.00012273702304810286
1692879666.1946447,2.8743958168514494e-12,8.098924308974631e-10,0.0,0.0,0.0,0.0002405485138297081,1.0,0.0,0.0,0.0,0.0,0.0,9.279359801439568e-05
1692879666.2259846,2.8743958168514494e-12,8.098924308974631e-10,0.0,0.0,0.0,0.00023183226585388184,1.0,0.0,0.0,0.0,0.0,0.0,-0.0005282574566081166
1692879666.2576625,2.8743958168514494e-12,8.098924308974631e-10,0.0,0.0,0.0,0.00023211771622300148,1.0,0.0,0.0,0.0,0.0,0.0,1.730002259137109e-05
1692879666.28908,2.8743958168514494e-12,8.098924308974631e-10,0.0,0.0,0.0,0.00022788066416978836,1.0,0.0,0.0,0.0,0.0,0.0,-0.00025679104146547616
1692879666.3218544,2.8743958168514494e-12,8.098924308974631e-10,0.0,0.0,0.0,0.00021916860714554787,1.0,0.0,0.0,0.0,0.0,0.0,-0.0005280034383758903
1692879666.3552046,-2.5310680939583108e-05,-1.0506244763064387e-08,0.0,0.0,0.0,0.00022792071104049683,1.0,-0.0007669904734939337,0.0,0.0,0.0,0.0,0.0005304305232129991
1692879666.3883724,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.0002215048298239708,1.0,0.0007669904734939337,0.0,0.0,0.0,0.0,-0.0003888412902597338
1692879666.4199803,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.00022928975522518158,1.0,0.0,0.0,0.0,0.0,0.0,0.00047181366244331
1692879666.4631157,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.00023877480998635292,1.0,0.0,0.0,0.0,0.0,0.0,0.0005748518160544336
1692879666.5071292,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.0002405238337814808,1.0,0.0,0.0,0.0,0.0,0.0,0.00010288375051459298
1692879666.5513575,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.0002325642853975296,1.0,0.0,0.0,0.0,0.0,0.0,-0.00048239686293527484
1692879666.5950887,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.0002344115637242794,1.0,0.0,0.0,0.0,0.0,0.0,0.00011195626575499773
1692879666.5951655,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.00023396126925945282,1.0,0.0,0.0,0.0,0.0,0.0,-2.7290574507787824e-05
1692879666.6392887,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.00023453449830412865,1.0,0.0,0.0,0.0,0.0,0.0,3.474115510471165e-05
1692879666.6522694,3.0042487594861278e-12,8.690237973674186e-10,0.0,0.0,0.0,0.0002442728728055954,0.9999999403953552,0.0,0.0,0.0,0.0,0.0,0.000590204494073987
1692879666.695075,-2.5310680939583108e-05,-1.1407040645394773e-08,0.0,0.0,0.0,0.00024074222892522812,1.0,-0.0007669904734939337,0.0,0.0,0.0,0.0,-0.00021397841919679195
1692879666.7390552,2.7268012067066527e-12,5.696662030985067e-10,0.0,0.0,0.0,0.00023244554176926613,1.0,0.0007669904734939337,0.0,0.0,0.0,0.0,-0.0005028294981457293
1692879666.7838116,-2.5310680939583108e-05,-1.1287988321839748e-08,0.0,0.0,0.0,0.00023603858426213264,1.0,-0.0007444319780915976,0.0,0.0,0.0,0.0,0.00021135543647687882
1692879666.827324,-2.5310680939583108e-05,-1.1287988321839748e-08,0.0,0.0,0.0,0.00023348070681095123,1.0,0.0,0.0,0.0,0.0,0.0,-0.00015502287715207785
1692879666.82736,2.8107191053783342e-12,5.100396771595683e-10,0.0,0.0,0.0,0.0002326476387679577,1.0,0.0007669904734939337,0.0,0.0,0.0,0.0,-5.048897219239734e-05
1692879666.8711202,2.8107191053783342e-12,5.100396771595683e-10,0.0,0.0,0.0,0.0002311565913259983,1.0,0.0,0.0,0.0,0.0,0.0,-9.036651317728683e-05
1692879666.8848655,-2.5310680939583108e-05,-1.1139375644120264e-08,0.0,0.0,0.0,0.00022910023108124733,1.0,-0.0007669904734939337,0.0,0.0,0.0,0.0,-0.00012462789891287684
1692879666.9275005,-2.5310680939583108e-05,-1.1139375644120264e-08,0.0,0.0,0.0,0.00022603338584303856,1.0,0.0,0.0,0.0,0.0,0.0,-0.00018586940132081509
1692879666.9711993,2.882180171609461e-12,5.043355733036492e-10,0.0,0.0,0.0,0.00023399805650115013,1.0,0.0007669904734939337,0.0,0.0,0.0,0.0,0.0004827073134947568
1692879667.0181627,2.882180171609461e-12,5.043355733036492e-10,0.0,0.0,0.0,0.0002335323952138424,1.0,0.0,0.0,0.0,0.0,0.0,-2.8221897082403302e-05
1692879667.059134,2.882180171609461e-12,5.043355733036492e-10,0.0,0.0,0.0,0.00023292610421776772,1.0,0.0,0.0,0.0,0.0,0.0,-3.674491017591208e-05
1692879667.0591693,-2.5310680939583108e-05,-1.1201842120556194e-08,0.0,0.0,0.0,0.000229573342949152,1.0,-0.0007444319780915976,0.0,0.0,0.0,0.0,-0.00019722124852705747
1692879667.1031053,2.9027550762367182e-12,3.9705794208089173e-10,0.0,0.0,0.0,0.00022868765518069267,1.0,0.0007669904734939337,0.0,0.0,0.0,0.0,-5.367804624256678e-05
