timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1692715638.3133454,-1.8156274010291962e-12,1.1254432941143477e-09,0.0,0.0,0.0,0.0005062222480773926,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.00024203097564168274
1692715638.3454862,-1.8156274010291962e-12,1.1254432941143477e-09,0.0,0.0,0.0,0.0005075335502624512,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,7.947286212584004e-05
1692715638.3739936,-2.5310675482614897e-05,-2.4574140056188298e-08,0.0,0.0,0.0,0.0005078315734863281,0.9999998807907104,-0.0007669904734939337,0.0,0.0,0.0,0.0,1.806201362342108e-05
1692715638.4073055,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005083680152893066,0.9999998807907104,0.0007669904734939337,0.0,0.0,0.0,0.0,3.25116234307643e-05
1692715638.444553,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005100369453430176,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,9.81723569566384e-05
1692715638.4764538,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005104541778564453,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,2.5286819436587393e-05
1692715638.5085058,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.000508725643157959,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-0.00010475968156242743
1692715638.5410705,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005092620849609375,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,3.25116234307643e-05
1692715638.5695403,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005071163177490234,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-0.0001300464937230572
1692715638.6114495,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005064010620117188,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-4.334883124101907e-05
1692715638.6562383,-2.051300752523022e-12,1.146564732046329e-09,0.0,0.0,0.0,0.0005044937133789062,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-0.00011219697626074776
1692715638.6994743,2.531067184463609e-05,2.674959631576712e-08,0.0,0.0,0.0,0.000507056713104248,0.9999998807907104,0.0007669904734939337,0.0,0.0,0.0,0.0,0.0001553333131596446
1692715638.7434359,-2.5310675482614897e-05,-2.4613363791559095e-08,0.0,0.0,0.0,0.0005075931549072266,0.9999998807907104,-0.0015339809469878674,0.0,0.0,0.0,0.0,3.25116234307643e-05
1692715638.7434995,2.531067184463609e-05,2.6589681567656953e-08,0.0,0.0,0.0,0.0005038976669311523,0.9999998807907104,0.0015339809469878674,0.0,0.0,0.0,0.0,-0.00022396896383725107
1692715638.7882018,-1.8262622317188892e-12,1.105832314607369e-09,0.0,0.0,0.0,0.0005029439926147461,0.9999998807907104,-0.0007669904734939337,0.0,0.0,0.0,0.0,-5.7798442867351696e-05
1692715638.8056242,-1.8262622317188892e-12,1.105832314607369e-09,0.0,0.0,0.0,0.0005049705505371094,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.00011920928955078125
1692715638.847498,-1.8262622317188892e-12,1.105832314607369e-09,0.0,0.0,0.0,0.0005061626434326172,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,7.224805449368432e-05
1692715638.8914268,-1.8262622317188892e-12,1.105832314607369e-09,0.0,0.0,0.0,0.0005050897598266602,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-6.50232468615286e-05
1692715638.9354799,-1.8262622317188892e-12,1.105832314607369e-09,0.0,0.0,0.0,0.0005043148994445801,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-4.696123505709693e-05
1692715638.9355395,2.531067184463609e-05,2.6621362891887657e-08,0.0,0.0,0.0,0.0005037784576416016,0.9999998807907104,0.0007669904734939337,0.0,0.0,0.0,0.0,-3.25116234307643e-05
1692715638.9794536,-1.739535707319384e-12,1.0515214254880334e-09,0.0,0.0,0.0,0.0005064606666564941,0.9999998807907104,-0.0007444319780915976,0.0,0.0,0.0,0.0,0.00015777700173202902
1692715639.0034657,-1.739535707319384e-12,1.0515214254880334e-09,0.0,0.0,0.0,0.0005047321319580078,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-0.00010475968156242743
1692715639.047573,-1.739535707319384e-12,1.0515214254880334e-09,0.0,0.0,0.0,0.0004975795745849609,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-0.0004334883124101907
1692715639.09153,2.531067184463609e-05,2.629851536539718e-08,0.0,0.0,0.0,0.0004999041557312012,0.9999998807907104,0.0007669904734939337,0.0,0.0,0.0,0.0,0.0001408837124472484
1692715639.13561,-1.939931071684442e-12,9.278136037238482e-10,0.0,0.0,0.0,0.000502467155456543,0.9999998807907104,-0.0007669904734939337,0.0,0.0,0.0,0.0,0.0001553333131596446
1692715639.1793816,-1.939931071684442e-12,9.278136037238482e-10,0.0,0.0,0.0,0.0005002617835998535,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,-0.00013365890481509268
1692715639.2235148,-1.939931071684442e-12,9.278136037238482e-10,0.0,0.0,0.0,0.0005015134811401367,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,5.9604644775390625e-05
